cl,cluster_id,cluster_id_label,supertype_id,supertype_label,supertype_id_label,subclass_id,subclass_label,subclass_id_label,class_id,class_label,class_id_label,neighborhood,anatomical_annotation,notes,CCF_broad.freq,CCF_acronym.freq,v3.size,v2.size,multiome.size,F,M,sex.bias,Dark,Light,nt_type_label,nt.markers,nt_type_combo_label,np.markers,cluster.markers.combo,merfish.markers.combo,cluster.TF.markers.combo,cluster.markers.combo (within subclass),CTX.cluster_id,CTX.cluster_label,CTX.supertype_id,CTX.supertype_label,CTX.subclass_id,CTX.subclass_id,CTX.neighborhood_id,CTX.neighborhood_label,CTX.size,taxonomy_id,cell_set_accession.cluster,cell_set_accession.supertype,cell_set_accession.subclass,cell_set_accession.class
126,11,0011 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,CLA,,"Isocortex:0.48,CTXsp:0.47","CLA:0.46,GU6a:0.1,AId6a:0.09,AIv5:0.06,AIp6a:0.05,VISC6a:0.04",651,868,0,0.5,0.5,,0.1,0.9,Glut,Slc17a7:9.96,Glut,Cck:9.7,"Osr1,Satb2,Zfhx4,Lpl","Osr1,C1ql3,Zfhx4,Vwc2l,Lpl,Rgs6","Osr1,Satb2,Zfhx4,Nr2f2","Zfhx4,Lpl",225,225_L6 IT CTX_2,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,428,CCN202307220,CS20230722_CLUS_0011,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
127,12,0012 IT EP-CLA Glut_1,3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,CLA-iCTX,,Isocortex:0.85,"SSs6a:0.13,GU6a:0.12,MOp6a:0.1,CLA:0.09,AId6a:0.09,VISC6a:0.06,MOs6a:0.03,SSp-m6a:0.03,AIp6a:0.03,scwm:0.02,SSs6b:0.02,AIp5:0.02,TEa5:0.01,AUDv5:0.01,AUDv6a:0.01,PL6a:0.01",155,835,0,0.46,0.54,,0.04,0.96,Glut,Slc17a7:9.9,Glut,Cck:10.1,"Osr1,Rab38,Serpina3n","Osr1,Oprk1,Zfhx4,Adamts2,Rxfp1","Osr1,Ovol2,Zfhx4,Bhlhe22,Pou6f2","Ctsc,Rab38",225,225_L6 IT CTX_3,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,638,CCN202307220,CS20230722_CLUS_0012,CS20230722_SUPT_0003,CS20230722_SUBC_002,CS20230722_CLAS_01
117,13,0013 IT EP-CLA Glut_2,4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd,,"CTXsp:0.56,Isocortex:0.29","EPd:0.5,AIp6a:0.08,VISC6a:0.06,ENTl6a:0.05,CLA:0.04,ec:0.04,ECT6a:0.03,VISC6b:0.03",56,266,0,0.55,0.45,,0.07,0.93,Glut,Slc17a7:9.24,Glut,"Cck:8.5,Adcyap1:4.3,Penk:4","Txk,Sfrp2","Ccn3,Piezo2,Col24a1,Adcyap1,Bmp3","Satb2,Hopx,Fezf2,Id4,Fosb,Nr2f2","Tacstd2,Sfrp2",233,233_L6 IT ENTl_1,44,Dlk1,20,L6 IT ENTl,4,L4_5_6_IT_Car3,94,CCN202307220,CS20230722_CLUS_0013,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
118,14,0014 IT EP-CLA Glut_2,4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd-EPv po,,"CTXsp:0.36,RHP:0.36,Isocortex:0.15","EPd:0.32,ENTl6a:0.25,ENTl5:0.11,AIp6a:0.05,ECT6a:0.04,ec:0.04",136,713,0,0.51,0.49,,0.07,0.93,Glut,Slc17a7:9.52,Glut,Cck:9.2,"1700023F02Rik,Rab38,Chst9,Vmn2r87","Osr1,Dio3,Oprk1,Fibcd1","Osr1,Satb2,Rxrg,Bhlhe22,Nr2f2,Lin28b","Rab38,Zfp503",234,234_L6 IT ENTl,44,Dlk1,20,L6 IT ENTl,4,L4_5_6_IT_Car3,447,CCN202307220,CS20230722_CLUS_0014,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
119,15,0015 IT EP-CLA Glut_2,4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd-EPv po,,"CTXsp:0.35,RHP:0.32,Isocortex:0.21","EPd:0.32,ENTl6a:0.24,ENTl5:0.08,VISC6a:0.06,ec:0.06,ee:0.06",50,254,0,0.56,0.44,,0.06,0.94,Glut,Slc17a7:9.54,Glut,Cck:9.2,"Osr1,Onecut1,Egr2","Osr1,Dlk1,Egr2,Fibcd1","Osr1,Onecut1,Egr2","Onecut1,Egr2",235,235_L6 IT ENTl_1,44,Dlk1,20,L6 IT ENTl,4,L4_5_6_IT_Car3,163,CCN202307220,CS20230722_CLUS_0015,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
148,16,0016 IT EP-CLA Glut_2,4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPv,,"OLF:0.45,CTXsp:0.34,Isocortex:0.14","EPd:0.24,AON:0.18,PIR:0.16,CLA:0.06,OLF:0.06,AIp6a:0.03,CTXsp:0.03,AIp5:0.02,TTd:0.02",160,280,0,0.51,0.49,,0.08,0.92,Glut,Slc17a7:9.79,Glut,"Cck:9.3,Adcyap1:5.7","Adgrd1,Npsr1,Egr2,Rorb","Ccn3,Npsr1,Egr2,Lpl,Adcyap1,Bcl11b","Satb2,Egr2,Rxrg,Rorb,Nr2f2,Pparg","Pim1,Rorb,Bcl11b",235,235_L6 IT ENTl_2,44,Dlk1,20,L6 IT ENTl,4,L4_5_6_IT_Car3,31,CCN202307220,CS20230722_CLUS_0016,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
149,17,0017 IT EP-CLA Glut_2,4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPv,,"CTXsp:0.66,OLF:0.18","EPd:0.53,PIR:0.1,EPv:0.06,TR:0.05,CTXsp:0.04,CLA:0.03",702,816,0,0.56,0.44,,0.1,0.9,Glut,Slc17a7:9.46,Glut,"Cck:9,Adcyap1:4.2","Osr1,Npsr1,Rcan3,Tpbgl","Osr1,Npsr1,Tacr3,Tacr1,Adamts2","Osr1,Satb2,Tox2,Rorb,Zfp618,Lin28b","Tacr3,Tpbgl",233,233_L6 IT ENTl_2,44,Dlk1,20,L6 IT ENTl,4,L4_5_6_IT_Car3,111,CCN202307220,CS20230722_CLUS_0017,CS20230722_SUPT_0004,CS20230722_SUBC_002,CS20230722_CLAS_01
159,18,0018 IT EP-CLA Glut_3,5,IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPv extension?,,"CTXsp:0.64,OLF:0.31","EPv:0.29,PIR:0.24,BMAa:0.19,BLAa:0.09",105,191,0,0.49,0.51,,0.1,0.9,Glut,"Slc17a7:9.61,Slc17a6:7.53,Gad2:4.32",Glut,"Cck:8.9,Adcyap1:6.6","Lamc2,Col14a1,Olfm4,Zan","Rxfp1,Npsr1,Npy2r,Ebf1,Kcng1,Trpc7","Satb2,Sox6,Neurod2,Ebf1","Ebf1,Zan",213,213_L5 IT TPE-ENT_2,37,Dcn,18,L5 IT TPE-ENT,4,L4_5_6_IT_Car3,1,CCN202307220,CS20230722_CLUS_0018,CS20230722_SUPT_0005,CS20230722_SUBC_002,CS20230722_CLAS_01
160,19,0019 IT EP-CLA Glut_3,5,IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPv extension?,,"OLF:0.54,CTXsp:0.4","PIR:0.49,EPv:0.17,EPd:0.16",175,236,0,0.59,0.41,,0.1,0.9,Glut,"Slc17a7:9.71,Slc17a6:5.93",Glut,"Cck:9.4,Adcyap1:7","Bace2,Rxfp1,Krt17,Pparg","Rxfp1,Npsr1,Sox6,Pparg","Satb2,Sox6,Tbr1,Pparg,Barx2","Shisal2b,Pparg",,,,,,,,,,CCN202307220,CS20230722_CLUS_0019,CS20230722_SUPT_0005,CS20230722_SUBC_002,CS20230722_CLAS_01
162,20,0020 IT EP-CLA Glut_3,5,IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPv extension?,,"OLF:0.53,CTXsp:0.42","PIR:0.42,EPv:0.32,EPd:0.07",32,59,0,0.69,0.31,,0.12,0.88,Glut,"Slc17a7:9.71,Slc17a6:7.38,Gad2:4.69",Glut,"Cck:9,Adcyap1:8.4","A830029E22Rik,Col14a1,Egr2","Rxfp1,Sox6,Egr2,Npsr1","Satb2,Sox6,Egr2","Cenpf,Egr2",212,212_L5 IT TPE-ENT_3,37,Dcn,18,L5 IT TPE-ENT,4,L4_5_6_IT_Car3,1,CCN202307220,CS20230722_CLUS_0020,CS20230722_SUPT_0005,CS20230722_SUBC_002,CS20230722_CLAS_01
123,21,0021 IT EP-CLA Glut_4,6,IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,EPd an,,"OLF:0.56,CTXsp:0.26","PIR:0.27,OLF:0.26,EPd:0.24,ORBl2/3:0.08",145,173,0,0.61,0.39,,0.07,0.93,Glut,Slc17a7:10.61,Glut,Cck:9.5,"Blnk,Igf1,Medag,Ntn4","Npsr1,Igfbp6,Ighm,A830036E02Rik,Pdzrn3","Satb2,Rorb,Nr4a2,Elk3,L3mbtl4,Bcl11b",Ntn4,227,227_L6 IT CTX_1,41,Penk,19,L6 IT CTX,4,L4_5_6_IT_Car3,22,CCN202307220,CS20230722_CLUS_0021,CS20230722_SUPT_0006,CS20230722_SUBC_002,CS20230722_CLAS_01
124,22,0022 IT EP-CLA Glut_4,6,IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,2,IT EP-CLA Glut,002 IT EP-CLA Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,AON-DP,,"OLF:0.75,Isocortex:0.13","AON:0.38,OLF:0.22,PIR:0.09,EPd:0.08,DP:0.04",65,281,0,0.54,0.46,,0.06,0.94,Glut,Slc17a7:10.5,Glut,Cck:9.4,"Gm40518,Adamts4,Npsr1","Lsp1,Npsr1,Rspo2","Satb2,Elk3,Fezf2,Bcl6,Zfp941,Bcl11b",Gm40518,223,223_L6 IT CTX_2,43,Fst,19,L6 IT CTX,4,L4_5_6_IT_Car3,2,CCN202307220,CS20230722_CLUS_0022,CS20230722_SUPT_0006,CS20230722_SUBC_002,CS20230722_CLAS_01
97,23,0023 L5/6 IT TPE-ENT Glut_1,7,L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,"TPE-AI-PFC, BMA",,"Isocortex:0.73,CTXsp:0.14","AId5:0.06,ENTl5:0.06,AId2/3:0.05,MOs2/3:0.04,EPv:0.04,PL2/3:0.04,VISC5:0.04,PIR:0.03,ECT5:0.03,BLAv:0.03,AIp5:0.03,BLAa:0.03,ECT2/3:0.03,MOp5:0.03,AIp2/3:0.03,MOs5:0.02,TEa4:0.02,TEa5:0.02,MOp2/3:0.02,ORBm2/3:0.02,ILA2/3:0.01,GU4:0.01,VISC4:0.01,AIv5:0.01,PL5:0.01,PERI5:0.01,GU2/3:0.01,VISpor2/3:0.01,ACAd2/3:0.01,PERI2/3:0.01,ORBl5:0.01",101,716,0,0.36,0.64,,0.06,0.94,Glut,Slc17a7:10.59,Glut,Cck:9.4,"Gm39822,Trdn,Inhbb,Tmem40","Cyp26b1,Egln3,Rxfp1,Ccn3,Scn5a","Fezf2,L3mbtl4,Rxrg,Ovol2,Tox2,Rorb",Ndst4,191,191_L4/5 IT CTX_4,39,Slc22a4,16,L4/5 IT CTX,4,L4_5_6_IT_Car3,602,CCN202307220,CS20230722_CLUS_0023,CS20230722_SUPT_0007,CS20230722_SUBC_003,CS20230722_CLAS_01
115,24,0024 L5/6 IT TPE-ENT Glut_1,7,L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,ENTl,,"RHP:0.63,Isocortex:0.18","ENTl5:0.35,ENTl6a:0.24,TR:0.07,ECT5:0.06,ECT6a:0.03,EPd:0.03,ec:0.03",49,702,0,0.47,0.53,,0.03,0.97,Glut,Slc17a7:10.41,Glut,Cck:9,"Ighg2c,Dcn,Satb2","Dcn,Arhgap25,Rorb,Tshz2","Fezf2,Rorb,Foxp2,Rxrg,Bhlhe22,Tshz2",Clrn1,210,210_L5 IT TPE-ENT,37,Dcn,18,L5 IT TPE-ENT,4,L4_5_6_IT_Car3,632,CCN202307220,CS20230722_CLUS_0024,CS20230722_SUPT_0007,CS20230722_SUBC_003,CS20230722_CLAS_01
165,25,0025 L5/6 IT TPE-ENT Glut_1,7,L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,1,IT-ET Glut,01 IT-ET Glut,Pallium-Glut,ENTl,,"RHP:0.67,Isocortex:0.33","ENTl5:0.47,ECT5:0.15,PERI5:0.1,ENTl3:0.09",70,442,0,0.45,0.55,,0.05,0.95,Glut,Slc17a7:9.92,Glut,Cck:6.9,"Dcn,Dkkl1,5830418P13Rik","Dcn,Cyp26b1,Rorb,Gpr88,Pparg","Ovol2,Nr2f2,Rorb,Pparg,Fezf2,Zfp467",Sfrp1,192,192_L4/5 IT CTX_7,26,Tshz2,16,L4/5 IT CTX,4,L4_5_6_IT_Car3,421,CCN202307220,CS20230722_CLUS_0025,CS20230722_SUPT_0007,CS20230722_SUBC_003,CS20230722_CLAS_01
